epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
117,7481.59,2.25977,1.1932,0.8482,0.6699,0.46152,0.52279,0.21055,2.24325,1.15604,0.84884,0.00349846,0.00116615,0.00349846,0.00116615,0.00349846,0.00116615,0.00349846,0.00116615
118,7543.1,2.25004,1.17921,0.84704,0.66653,0.46181,0.52144,0.21022,2.24262,1.15528,0.84885,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
119,7605.06,2.25941,1.18783,0.84549,0.66959,0.46009,0.52137,0.21011,2.24249,1.15526,0.84901,0.00304154,0.00101385,0.00304154,0.00101385,0.00304154,0.00101385,0.00304154,0.00101385
120,7667.02,2.26608,1.18768,0.84482,0.66976,0.46002,0.52167,0.21041,2.24184,1.15588,0.84875,0.00281308,0.000937692,0.00281308,0.000937692,0.00281308,0.000937692,0.00281308,0.000937692
121,7741.95,2.17993,1.16117,0.85441,0.66787,0.4603,0.52099,0.20959,2.24406,1.15569,0.84913,0.00258462,0.000861538,0.00258462,0.000861538,0.00258462,0.000861538,0.00258462,0.000861538
122,7802.06,2.15748,1.14589,0.85705,0.6695,0.46109,0.52207,0.20951,2.24283,1.15456,0.84888,0.00235615,0.000785385,0.00235615,0.000785385,0.00235615,0.000785385,0.00235615,0.000785385
123,7861.89,2.17245,1.15294,0.85383,0.66901,0.46224,0.52261,0.20983,2.24307,1.1543,0.84902,0.00212769,0.000709231,0.00212769,0.000709231,0.00212769,0.000709231,0.00212769,0.000709231
124,7921.46,2.16579,1.14366,0.85034,0.66776,0.46181,0.52251,0.20977,2.244,1.15497,0.84908,0.00189923,0.000633077,0.00189923,0.000633077,0.00189923,0.000633077,0.00189923,0.000633077
125,7980.74,2.14573,1.1295,0.85023,0.66415,0.46319,0.52264,0.20926,2.24439,1.15461,0.84914,0.00167077,0.000556923,0.00167077,0.000556923,0.00167077,0.000556923,0.00167077,0.000556923
126,8040.12,2.15209,1.13288,0.85091,0.66275,0.46274,0.52141,0.20926,2.24568,1.15483,0.84922,0.00144231,0.000480769,0.00144231,0.000480769,0.00144231,0.000480769,0.00144231,0.000480769
127,8099.37,2.16644,1.13873,0.84905,0.66268,0.46288,0.52078,0.20911,2.24646,1.1554,0.84904,0.00121385,0.000404615,0.00121385,0.000404615,0.00121385,0.000404615,0.00121385,0.000404615
128,8159.29,2.14991,1.13295,0.84947,0.66508,0.46066,0.52039,0.20895,2.24652,1.15493,0.84909,0.000985385,0.000328462,0.000985385,0.000328462,0.000985385,0.000328462,0.000985385,0.000328462
